Reference, Quantity, Value, Footprint, Datasheet, MPN, Manufacturer, Alternative MPN
C3 C1 C5 C7 ,4,"100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","K104K15X7RF53H5","Vishay",""
C4 C2 C6 C8 ,4,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","860080574007","Wurth Elektronik",""
D1 ,1,"MESA P3 PWR","LED_THT:LED_D3.0mm","~"
D2 ,1,"MESA P2 PWR","LED_THT:LED_D3.0mm","~"
D3 ,1,"ATX PWR GOOD","LED_THT:LED_D3.0mm","~"
D4 ,1,"ATX STBY","LED_THT:LED_D3.0mm","~"
D5 D7 D9 ,3,"LED","LED_THT:LED_D3.0mm","~"
D6 D8 D10 ,3,"1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
H1 H2 H3 H4 H6 H5 ,6,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J1 ,1,"24V DC IN","SwitchCraft-BarrelJack-RAPC722BK:RAPC722BK","~","RAPC722BK","Switchcraft",""
J10 ,1,"MESA P2 INTERNAL IO","Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~","ID25S33E4GX00LF","Amphenol","L77SDB25SA4CH4F "
J11 ,1,"MESA P3 REAR IO","Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~","ID25S33E4GX00LF","Amphenol","L77SDB25SA4CH4F "
J12 ,1,"ENCODER IN","Connector_Dsub:DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~"
J13 ,1,"ENCODER OUT","Connector_Dsub:DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~"
J14 ,1,"ARGON J5","Connector_IDC:IDC-Header_2x13_P2.54mm_Horizontal","~","90130-3126 ","Molex",""
J15 ,1,"ARGON J2.2","Stewart:SS6488SANF1","~","SS-6488S-A-NF-1","Bel",""
J16 J17 J18 J19 J20 ,5,"RJ14","Wurth:615004141121","~","615004141121","Wurth",""
J2 ,1,"ATX-24","Connector_Molex:Molex_Mini-Fit_Jr_5569-24A2_2x12_P4.20mm_Horizontal","https://www.intel.com/content/dam/www/public/us/en/documents/guides/power-supply-design-guide-june.pdf#page=33","39-30-1240","Molex",""
J21 ,1,"PENDANT","Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~","ID25S33E4GX00LF","Amphenol","L77SDB25SA4CH4F "
J22 ,1,"DRAWBAR","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","1757242","Phoenix Contact",""
J23 ,1,"MIST","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","1757242","Phoenix Contact",""
J24 ,1,"AXIS PWR IN","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~","1757255","Phoenix Contact",""
J25 ,1,"AXIS PWR OUT","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~","1757255","Phoenix Contact",""
J3 ,1,"5V BUS","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","1757242","Phoenix Contact",""
J4 ,1,"24V BUS","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","1757242","Phoenix Contact",""
J5 ,1,"12V BUS","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","~","1757242","Phoenix Contact",""
J7 J8 J9 ,3,"RJ45","Stewart:SS6488SANF1","~","SS-6488S-A-NF-1","Bel",""
JP1 ,1,"ENCODER PWR SEL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
JP2 ,1,"HSIN1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
JP3 ,1,"HSIN2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
Q1 Q2 Q3 ,3,"BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","http://www.fairchildsemi.com/ds/BC/BC547.pdf","BC547CTFR","ON Semiconductor",""
R1 R7 R8 R10 R12 R14 R16 R18 R20 R22 ,10,"2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JB-52-2K2","Yageo",""
R24 R25 R26 R27 R28 R29 R30 R31 ,8,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JB-52-10K ","Yageo",""
R4 R5 R2 R3 ,4,"220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JB-52-220R","Yageo",""
R6 R15 R17 R19 R21 R23 ,6,"220K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JB-52-220K","Yageo",""
R9 R11 R13 ,3,"680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CFR-25JB-52-680R","Yageo",""
RL1 RL2 RL3 ,3,"JW2","Relay_THT:Relay_DPDT_Panasonic_JW2","http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_jw.pdf?via=ok","RT424012","TE Connectivity","RTE24012"
U1 U2 U3 U4 U5 U6 ,6,"4N35","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/81181/4n35.pdf","4N35","Vishay",""
U7 ,1,"74HC14","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74HC14"
