Designator,Mid X,Mid Y,Rotation,Layer
C1,171.41,-76.2,180.0,top
C2,170.18,-68.58,180.0,top
C3,50.76,-117.241996,180.0,top
C4,49.53,-108.351996,180.0,top
D1,34.29,-117.241996,0.0,top
D2,34.29,-124.861996,0.0,top
D3,173.99,-62.23,0.0,top
J1,69.85,-92.56,0.0,top
J10,86.47,-123.951996,0.0,top
J2,69.85,-77.490662,0.0,top
J3,142.24,-88.9,270.0,top
J4,62.23,-49.53,180.0,top
J5,152.515,-130.701996,0.0,top
J6,172.72,-48.3,180.0,top
J7,156.21,-48.3,180.0,top
J8,116.84,-48.3,180.0,top
J9,134.62,-48.3,180.0,top
R1,114.3,-73.66,270.0,top
R10,87.63,-100.33,0.0,top
R11,36.83,-112.161996,90.0,top
R12,33.02,-104.541996,270.0,top
R13,157.48,-78.74,90.0,top
R14,151.13,-78.74,90.0,top
R15,144.78,-78.74,90.0,top
R16,176.53,-76.2,90.0,top
R17,113.03,-126.131996,90.0,top
R18,128.27,-126.131996,90.0,top
R19,128.27,-73.66,270.0,top
R2,87.63,-85.09,0.0,top
R20,87.63,-104.14,0.0,top
R3,119.38,-73.66,270.0,top
R4,87.63,-88.9,0.0,top
R5,133.35,-73.66,270.0,top
R6,87.63,-92.71,0.0,top
R7,100.33,-73.66,270.0,top
R8,87.63,-96.52,0.0,top
R9,105.41,-73.66,270.0,top
U1,121.91,-62.23,270.0,top
U2,135.89,-62.23,270.0,top
U3,107.95,-62.23,270.0,top
U4,157.475,-68.57,90.0,top
U5,151.125,-68.57,90.0,top
U6,144.775,-68.57,90.0,top
U7,124.46,-124.861996,180.0,top
